px,py,pz,qx,qy,qz
-2.357679456472396851e-01,-1.609388738870620728e-01,5.830000042915344238e-01,3.393473510742187500e+02,-1.961810150146484375e+02,3.311903381347656250e+02
2.817355990409851074e-01,-1.453975886106491089e-01,5.820000171661376953e-01,3.810815124511718750e+02,2.724413452148437500e+02,3.330524597167968750e+02
-7.162246108055114746e-02,-2.381257116794586182e-01,6.360000371932983398e-01,2.370391540527343750e+02,-3.616477966308593750e+01,3.256579284667968750e+02
2.464578896760940552e-01,-2.938808128237724304e-02,5.710000395774841309e-01,4.350838928222656250e+02,2.420940246582031250e+02,3.169726562500000000e+02
-1.595002561807632446e-01,-1.683017760515213013e-01,6.170000433921813965e-01,3.167592468261718750e+02,-1.298678436279296875e+02,3.211450805664062500e+02
-4.533926025032997131e-02,1.406745985150337219e-03,5.350000262260437012e-01,4.548529357910156250e+02,-2.490331268310546875e+01,3.451550598144531250e+02
2.252004444599151611e-01,4.045383073389530182e-03,5.360000133514404297e-01,4.803770141601562500e+02,2.047185363769531250e+02,3.376758728027343750e+02
-8.877036720514297485e-02,-1.839094161987304688e-01,6.470000147819519043e-01,2.630349731445312500e+02,-5.993584442138671875e+01,3.037895812988281250e+02
1.813523620367050171e-01,-1.136833056807518005e-01,6.170000433921813965e-01,3.405310974121093750e+02,1.840848693847656250e+02,3.120812988281250000e+02
-1.165011450648307800e-01,-8.924750238656997681e-02,6.090000271797180176e-01,3.820223999023437500e+02,-8.168437957763671875e+01,3.019303894042968750e+02
-1.538006812334060669e-01,-5.599008407443761826e-03,5.340000391006469727e-01,4.601291809082031250e+02,-1.300159912109375000e+02,3.317911682128906250e+02
1.433501541614532471e-01,-2.159657180309295654e-01,6.060000061988830566e-01,2.631011962890625000e+02,1.718209533691406250e+02,3.571201477050781250e+02
1.100060492753982544e-01,-2.212983928620815277e-02,5.770000219345092773e-01,4.366772460937500000e+02,1.409669647216796875e+02,3.153582458496093750e+02
8.319958299398422241e-02,-1.860596984624862671e-01,6.740000247955322266e-01,2.684378967285156250e+02,1.074656219482421875e+02,2.799619750976562500e+02
7.657035440206527710e-02,-9.877309948205947876e-02,6.740000247955322266e-01,3.263065490722656250e+02,1.198160171508789062e+02,2.650204772949218750e+02
